kernel_width,num_elems,right_cycles,walltime
3,1,25,0.2422957420349121
3,11,55,0.22862839698791504
3,21,90,0.2875819206237793
3,31,125,0.29334211349487305
3,41,160,0.7468781471252441
3,51,195,0.3581879138946533
3,61,230,0.3884260654449463
3,71,265,0.4182422161102295
3,81,300,0.5455954074859619
3,91,335,0.48503923416137695
103,1,25,1.14701509475708
103,11,56,1.2249374389648438
103,21,90,1.27669358253479
103,31,126,1.3444099426269531
103,41,160,1.428006887435913
103,51,196,1.4892423152923584
103,61,230,1.5460102558135986
103,71,266,1.6298928260803223
103,81,300,1.6772212982177734
103,91,336,1.7335755825042725
203,1,25,2.0831050872802734
203,11,56,2.1854820251464844
203,21,90,2.2878384590148926
203,31,126,2.396784782409668
203,41,160,2.4906229972839355
203,51,196,2.792300224304199
203,61,230,2.7057113647460938
203,71,266,2.79333758354187
203,81,300,2.8825294971466064
203,91,336,3.0178778171539307
303,1,25,3.0134084224700928
303,11,56,3.134124517440796
303,21,90,3.2613306045532227
303,31,126,3.4064879417419434
303,41,160,3.538156509399414
303,51,196,3.648714303970337
303,61,230,3.7739288806915283
303,71,266,7.419311761856079
303,81,300,4.202967405319214
303,91,336,4.202261686325073
403,1,25,3.969053268432617
403,11,56,4.123208999633789
403,21,90,4.306778430938721
403,31,126,4.449237585067749
403,41,160,4.579176902770996
403,51,196,5.251306533813477
403,61,230,5.9902753829956055
403,71,266,5.272272825241089
403,81,300,5.252127408981323
403,91,336,5.344223499298096
503,1,25,4.96398138999939
503,11,56,5.200448751449585
503,21,90,5.403186559677124
503,31,126,5.535205364227295
503,41,160,5.786977291107178
503,51,196,5.974777698516846
503,61,230,6.1423046588897705
503,71,266,6.480322360992432
503,81,300,6.463186264038086
503,91,336,6.708881855010986
603,1,25,6.03503155708313
603,11,56,6.310853958129883
603,21,90,6.472379446029663
603,31,126,6.826802730560303
603,41,160,6.931520223617554
603,51,196,7.144511938095093
603,61,230,7.387495279312134
603,71,266,7.691736936569214
603,81,300,7.733332633972168
603,91,336,8.014991760253906
703,1,25,7.114393472671509
703,11,56,7.418559551239014
703,21,90,7.64260196685791
703,31,126,8.046461820602417
703,41,160,8.14274263381958
703,51,196,8.377657175064087
703,61,230,8.690992832183838
703,71,266,9.081063032150269
703,81,300,9.1219642162323
703,91,336,9.397588729858398
