8,8,144,100,12,0.9936091899871826
8,1,32,39,12,0.5489101409912109
8,100,1064,790,12,2.6960184574127197
8,500,5064,3790,12,10.694948196411133
8,10,164,115,12,0.755596399307251
8,1,32,39,12,0.6769990921020508
8,11,171,121,12,0.7680153846740723
8,21,271,196,12,1.0486867427825928
8,31,371,271,12,1.6705167293548584
8,41,471,346,12,1.3435814380645752
8,51,571,421,12,1.6205320358276367
8,61,671,496,12,2.1927430629730225
8,71,771,571,12,2.6492905616760254
8,81,871,646,12,3.0642309188842773
8,91,971,721,12,3.5658602714538574
8,101,1071,796,12,2.7500178813934326
8,111,1171,871,12,2.9898717403411865
8,121,1271,946,12,3.7650232315063477
8,131,1371,1021,12,3.627246141433716
8,141,1471,1096,12,3.7357301712036133
8,151,1571,1171,12,3.5062339305877686
8,161,1671,1246,12,3.813476800918579
8,171,1771,1321,12,4.164652109146118
8,181,1871,1396,12,4.109153509140015
